img_id,absolute_clarity-vs-relative_clarity,closed_form-vs-open_form,linear_style-vs-painterly_style,multiplicity-vs-unity,planar_style-vs-recessional_style,set
img_00001.png,5,4.2,4.4,4.4,4.6,training
img_00002.png,5,2.6,3.4,4.6,3.6,training
img_00003.png,4.2,2.4,3.8,3.8,1.8,training
img_00004.png,1.8,4,3.8,3.6,2.6,training
img_00005.png,4.4,3.6,4,3.4,3.4,training
img_00006.png,2.6,2.6,4.6,4.4,2.8,training
img_00007.png,4.8,4.8,3.6,4.8,4.4,training
img_00008.png,1.2,2.2,3.4,2.6,2.2,training
img_00009.png,4,4.8,4.6,4.6,2.2,training
img_00010.png,2.2,3.4,3,2,2.4,training
img_00011.png,3.2,3.2,2.6,2,3,training
img_00012.png,5,4.6,3.8,3.6,3,training
img_00013.png,4.8,1.2,4.6,3.2,3.4,training
img_00014.png,4.2,4.6,4.4,3.4,3,training
img_00015.png,3.4,1,3.4,1,1.4,training
img_00016.png,1.2,2.2,3,3,1.8,training
img_00017.png,2,2.4,4.4,3.2,1.6,training
img_00018.png,4,4,3.6,3.8,2.4,training
img_00019.png,1,1.8,4.4,2.8,1.6,training
img_00020.png,4.2,4.4,2.2,2.4,2.8,training
img_00021.png,3.6,4.2,4.4,2.8,4.2,training
img_00022.png,2.6,2.8,3,4,4.2,training
img_00023.png,4.4,3.6,3,4.2,3,training
img_00024.png,4,3.2,3.6,4,3.8,training
img_00025.png,1.2,2.2,3,3.4,1.6,training
img_00026.png,1.4,2.4,3.2,2,4.2,training
img_00027.png,2.4,3,3.8,1.4,2.2,training
img_00028.png,3.4,1.8,2.4,1.8,2.4,training
img_00029.png,1.8,4.8,4.8,2.8,2.8,training
img_00030.png,4.4,4,4.6,4.4,4.4,training
img_00031.png,3.4,3.4,3,3,3.2,training
img_00032.png,4.6,4.8,4.2,4.6,3,training
img_00033.png,3.4,2.2,4.4,3.8,2.4,training
img_00034.png,1.2,2.2,3.2,1.8,3.6,training
img_00035.png,1.8,2.6,3.4,1.6,2.4,training
img_00036.png,3.8,1.8,4,2.6,1.6,training
img_00037.png,5,5,3,3,2.4,training
img_00038.png,3.6,4,4.6,3,2.4,training
img_00039.png,3.6,3.8,2.4,3.8,3.6,training
img_00040.png,4.6,2.2,3.6,5,3.8,training
img_00041.png,1.6,1.4,3.4,2,1.8,training
img_00042.png,1.8,1.8,3.2,1.4,1.8,training
img_00043.png,4.8,4.6,4.2,3.8,3.2,training
img_00044.png,2.6,2.4,3.6,2.4,2,training
img_00045.png,3.2,3.2,4.2,3,3.6,training
img_00046.png,3.2,3,4,4,2.6,training
img_00047.png,1.2,1.8,4.8,2,2.2,training
img_00048.png,4.4,4,4.8,5,4.2,training
img_00049.png,2.4,1.6,2.6,1.2,1,training
img_00050.png,1.2,2,3,1.4,1.8,validation
img_00051.png,3.6,4.6,4.4,3.8,1.4,training
img_00052.png,2,1,4,2.4,1.2,training
img_00053.png,4,1.8,3.2,2.8,1.2,training
img_00054.png,2.8,2.8,3.4,1.8,3.6,training
img_00055.png,4.8,4.2,3.6,4.2,3.8,training
img_00056.png,4,3.2,4,2.6,3.6,training
img_00057.png,3.4,4,4,3.6,2.8,training
img_00058.png,1,1,3,1.6,1.8,training
img_00059.png,3.8,4.4,5,4.4,3.6,training
img_00060.png,4.4,2,3,3.2,2.8,training
img_00061.png,2,2,3.6,2.4,2,training
img_00062.png,3.4,4.4,4,4.2,4.4,training
img_00063.png,1.8,1.4,4,2.8,1.6,training
img_00064.png,3.2,1,4,3.8,1.2,training
img_00065.png,4.6,3.6,4.4,4.8,5,training
img_00066.png,1.2,2.4,4.4,3.2,1.8,training
img_00067.png,4.6,3.8,4.6,4.2,3.8,training
img_00068.png,3.8,4.4,3.4,4.4,3.6,training
img_00069.png,1.2,2.8,3.2,3.2,2.2,training
img_00070.png,1.6,2.4,4,2.6,1.8,training
img_00071.png,1,2,4.2,3,2,training
img_00072.png,1.8,2.4,4.8,2.8,2.6,training
img_00073.png,4,4,2.4,3.8,3.4,training
img_00074.png,3.6,3.8,4.2,3.8,4.4,training
img_00075.png,1.8,1.6,3,2.4,2,training
img_00076.png,2.8,1.2,1.8,2,1.8,training
img_00077.png,4,3.2,3.2,3.4,3.4,training
img_00078.png,1.4,2.6,4.2,4,1.8,training
img_00079.png,3.8,2.8,5,2.4,4,training
img_00080.png,5,3.4,3,4,3.8,training
img_00081.png,1.6,2.8,2.4,2.2,3.4,training
img_00082.png,2.8,4.4,5,3.2,3.6,training
img_00083.png,4.4,1.6,1.8,2.6,1.6,training
